,schname,pAboveprof
60,Amherst Middle School,49
239,Ross A. Lurgio Middle School,52
619,Great Brook School,26
669,South Meadow School,38
1279,Mountain View Middle School,31
1612,Hillsboro-Deering Middle School,21
1683,Hollis-Brookline Middle School,35
1771,Hudson Memorial School,29
2217,Litchfield Middle School,30
2400,Henry J. McLaughlin Middle School,16
2422,Hillside Middle School,25
2474,Middle School At Parkside,10
2520,Southside Middle School,15
2597,Boynton Middle School,21
2689,Merrimack Middle School,31
2823,Milford Middle School,47
3054,Elm Street Middle School,16
3074,Fairgrounds Middle School,27
3142,Pennichuck Middle School,17
3485,Pelham Memorial School,30
4493,Weare Middle School,36
4625,Wilton-Lyndeboro Middle School,10
