,schname,pAboveprof
60,Amherst Middle School,47
237,Ross A. Lurgio Middle School,47
633,Great Brook School,24
683,South Meadow School,38
1303,Mountain View Middle School,24
1636,Hillsboro-Deering Middle School,10
1701,Hollis Brookline Middle School,35
1799,Hudson Memorial School,25
2247,Litchfield Middle School,30
2438,Henry J. McLaughlin Middle School,12
2460,Hillside Middle School,11
2512,Middle School At Parkside,10
2558,Southside Middle School,16
2643,Boynton Middle School,31
2737,Merrimack Middle School,28
2873,Milford Middle School,35
3112,Elm Street Middle School,21
3132,Fairgrounds Middle School,26
3200,Pennichuck Middle School,18
3559,Pelham Memorial School,20
4553,Weare Middle School,20
4671,Wilton-Lyndeboro Middle School,10
