,schname,pAboveprof
58,Amherst Middle School,46
235,Ross A. Lurgio Middle School,53
617,Great Brook School,11
667,South Meadow School,41
1289,Mountain View Middle School,30
1624,Hillsboro-Deering Middle School,12
1695,Hollis-Brookline Middle School,39
1785,Hudson Memorial School,28
2241,Litchfield Middle School,39
2418,Henry J. McLaughlin Middle School,20
2440,Hillside Middle School,17
2492,Middle School At Parkside,17
2538,Southside Middle School,18
2617,Boynton Middle School,21
2701,Merrimack Middle School,27
2835,Milford Middle School,23
3072,Elm Street Middle School,20
3092,Fairgrounds Middle School,29
3160,Pennichuck Middle School,19
3505,Pelham Memorial School,37
4501,Weare Middle School,32
4633,Wilton-Lyndeboro Middle School,31
