,schname,pAboveprof
58,Amherst Middle School,44
235,Ross A. Lurgio Middle School,55
621,Great Brook School,14
671,South Meadow School,32
1296,Mountain View Middle School,22
1635,Hillsboro-Deering Middle School,10
1700,Hollis Brookline Middle School,31
1796,Hudson Memorial School,30
2248,Litchfield Middle School,28
2425,Henry J. McLaughlin Middle School,12
2447,Hillside Middle School,16
2499,Middle School At Parkside,15
2545,Southside Middle School,10
2632,Boynton Middle School,33
2730,Merrimack Middle School,25
2864,Milford Middle School,34
3103,Elm Street Middle School,16
3123,Fairgrounds Middle School,23
3191,Pennichuck Middle School,15
3532,Pelham Memorial School,27
4530,Weare Middle School,23
4662,Wilton-Lyndeboro Middle School,15
