,schname,pAboveprof
64,Amherst Middle School,49
233,Ross A. Lurgio Middle School,34
593,Great Brook School,10
637,South Meadow School,25
1236,Mountain View Middle School,22
1546,Hillsboro-Deering Middle School,22
1617,Hollis-Brookline Middle School,31
1691,Hudson Memorial School,19
2122,Litchfield Middle School,32
2305,Henry J. McLaughlin Middle School,10
2325,Hillside Middle School,10
2379,Middle School At Parkside,10
2419,Southside Middle School,10
2490,Boynton Middle School,19
2576,Merrimack Middle School,23
2706,Milford Middle School,32
2939,Elm Street Middle School,20
2959,Fairgrounds Middle School,27
3021,Pennichuck Middle School,25
3354,Pelham Memorial School,25
4359,Weare Middle School,18
4477,Wilton-Lyndeboro Middle School,26
