,schname,pAboveprof
64,Amherst Middle School,56
233,Ross A. Lurgio Middle School,33
593,Great Brook School,14
637,South Meadow School,26
1237,Mountain View Middle School,17
1547,Hillsboro-Deering Middle School,21
1618,Hollis-Brookline Middle School,38
1692,Hudson Memorial School,24
2111,Litchfield Middle School,35
2294,Henry J. McLaughlin Middle School,10
2314,Hillside Middle School,10
2368,Middle School At Parkside,11
2408,Southside Middle School,10
2479,Boynton Middle School,27
2565,Merrimack Middle School,25
2709,Milford Middle School,32
2942,Elm Street Middle School,24
2962,Fairgrounds Middle School,20
3024,Pennichuck Middle School,19
3349,Pelham Memorial School,19
4351,Weare Middle School,23
4455,Wilton-Lyndeboro Middle School,10
