,schname,pAboveprof
64,Amherst Middle School,36
233,Ross A. Lurgio Middle School,34
587,Great Brook School,21
631,South Meadow School,32
1225,Mountain View Middle School,15
1552,Hillsboro-Deering Middle School,13
1623,Hollis-Brookline Middle School,33
1697,Hudson Memorial School,24
2111,Litchfield Middle School,28
2284,Henry J. McLaughlin Middle School,10
2304,Hillside Middle School,10
2358,Middle School At Parkside,12
2398,Southside Middle School,11
2469,Boynton Middle School,17
2555,Merrimack Middle School,25
2675,Milford Middle School,26
2902,Elm Street Middle School,25
2922,Fairgrounds Middle School,26
2984,Pennichuck Middle School,12
3317,Pelham Memorial School,29
4324,Weare Middle School,26
4444,Wilton-Lyndeboro Middle School,11
