,schname,pAboveprof
64,Amherst Middle School,63
224,Ross A. Lurgio Middle School,63
578,Great Brook School,28
615,South Meadow School,32
1199,Mountain View Middle School,48
1508,Hillsboro-Deering Middle School,38
1579,Hollis-Brookline Middle School,44
1653,Hudson Memorial School,42
2059,Litchfield Middle School,48
2241,Henry J. McLaughlin Middle School,26
2261,Hillside Middle School,15
2315,Middle School At Parkside,23
2355,Southside Middle School,10
2427,Boynton Middle School,32
2508,Merrimack Middle School,39
2650,Milford Middle School,59
2887,Elm Street Middle School,24
2907,Fairgrounds Middle School,23
2969,Pennichuck Middle School,25
3293,Pelham Memorial School,39
4270,Weare Middle School,40
4374,Wilton-Lyndeboro Middle School,37
