,schname,pAboveprof
64,Amherst Middle School,79
226,Ross A. Lurgio Middle School,59
603,Great Brook School,27
640,South Meadow School,31
1222,Mountain View Middle School,40
1533,Hillsboro-Deering Middle School,32
1604,Hollis-Brookline Middle School,45
1678,Hudson Memorial School,41
2115,Litchfield Middle School,38
2291,Henry J. McLaughlin Middle School,18
2311,Hillside Middle School,12
2365,Middle School At Parkside,22
2405,Southside Middle School,10
2477,Boynton Middle School,40
2558,Merrimack Middle School,31
2703,Milford Middle School,38
2942,Elm Street Middle School,29
2962,Fairgrounds Middle School,16
3024,Pennichuck Middle School,21
3350,Pelham Memorial School,39
4342,Weare Middle School,31
4436,Wilton-Lyndeboro Middle School,30
