,schname,pAboveprof
43,Amherst Middle School,73
189,Ross A. Lurgio Middle School,84
495,Great Brook School,62
535,South Meadow School,73
1035,Mountain View Middle School,74
1306,Hillsboro-Deering Middle School,37
1363,Hollis-Brookline Middle School,82
1432,Hudson Memorial School,64
1793,Litchfield Middle School,68
1947,Henry J. McLaughlin Middle School,46
1965,Hillside Middle School,44
2005,Middle School At Parkside,49
2043,Southside Middle School,47
2108,Boynton Middle School,64
2183,Merrimack Middle School,64
2290,Milford Middle School,72
2488,Elm Street Middle School,45
2504,Fairgrounds Middle School,59
2558,Pennichuck Middle School,52
2832,Pelham Memorial School,64
3673,Weare Middle School,73
3781,Wilton-Lyndeboro Middle School,52
