,schname,pAboveprof
52,Amherst Middle School,82
231,Ross A. Lurgio Middle School,89
615,Great Brook School,69
665,South Meadow School,73
1290,Mountain View Middle School,78
1630,Hillsboro-Deering Middle School,51
1696,Hollis Brookline Middle School,78
1790,Hudson Memorial School,69
2242,Litchfield Middle School,73
2419,Henry J. McLaughlin Middle School,44
2441,Hillside Middle School,42
2493,Middle School At Parkside,44
2539,Southside Middle School,44
2626,Boynton Middle School,76
2726,Merrimack Middle School,70
2859,Milford Middle School,69
3098,Elm Street Middle School,57
3118,Fairgrounds Middle School,59
3186,Pennichuck Middle School,54
3527,Pelham Memorial School,69
4524,Weare Middle School,71
4658,Wilton-Lyndeboro Middle School,58
