,schname,pAboveprof
52,Amherst Middle School,74
231,Ross A. Lurgio Middle School,82
647,Great Brook School,58
698,South Meadow School,73
1322,Mountain View Middle School,73
1656,Hillsboro-Deering Middle School,36
1724,Hollis Brookline Middle School,83
1818,Hudson Memorial School,61
2284,Litchfield Middle School,68
2475,Henry J. McLaughlin Middle School,51
2497,Hillside Middle School,41
2549,Middle School At Parkside,37
2595,Southside Middle School,44
2682,Boynton Middle School,50
2778,Merrimack Middle School,74
2911,Milford Middle School,67
3150,Elm Street Middle School,68
3170,Fairgrounds Middle School,71
3239,Pennichuck Middle School,65
3591,Pelham Memorial School,67
4575,Weare Middle School,73
4686,Wilton-Lyndeboro Middle School,51
