,schname,pAboveprof
54,Amherst Middle School,84
233,Ross A. Lurgio Middle School,88
627,Great Brook School,70
677,South Meadow School,72
1297,Mountain View Middle School,69
1631,Hillsboro-Deering Middle School,46
1697,Hollis Brookline Middle School,83
1793,Hudson Memorial School,68
2241,Litchfield Middle School,67
2432,Henry J. McLaughlin Middle School,44
2454,Hillside Middle School,43
2506,Middle School At Parkside,30
2552,Southside Middle School,44
2637,Boynton Middle School,61
2733,Merrimack Middle School,71
2868,Milford Middle School,76
3106,Elm Street Middle School,61
3127,Fairgrounds Middle School,65
3195,Pennichuck Middle School,63
3554,Pelham Memorial School,71
4547,Weare Middle School,81
4667,Wilton-Lyndeboro Middle School,36
