,schname,pAboveprof
57,Amherst Middle School,76
228,Ross A. Lurgio Middle School,69
586,Great Brook School,46
630,South Meadow School,34
1230,Mountain View Middle School,46
1541,Hillsboro-Deering Middle School,32
1613,Hollis-Brookline Middle School,52
1686,Hudson Memorial School,38
2104,Litchfield Middle School,60
2288,Henry J. McLaughlin Middle School,17
2308,Hillside Middle School,26
2362,Middle School At Parkside,20
2402,Southside Middle School,20
2472,Boynton Middle School,30
2560,Merrimack Middle School,54
2703,Milford Middle School,53
2936,Elm Street Middle School,31
2956,Fairgrounds Middle School,30
3018,Pennichuck Middle School,35
3343,Pelham Memorial School,37
4345,Weare Middle School,36
4449,Wilton-Lyndeboro Middle School,31
