,schname,pAboveprof
56,Amherst Middle School,61
221,Ross A. Lurgio Middle School,75
595,Great Brook School,54
632,South Meadow School,49
1214,Mountain View Middle School,43
1527,Hillsboro-Deering Middle School,29
1599,Hollis-Brookline Middle School,55
1672,Hudson Memorial School,48
2107,Litchfield Middle School,53
2285,Henry J. McLaughlin Middle School,24
2305,Hillside Middle School,14
2359,Middle School At Parkside,20
2399,Southside Middle School,16
2469,Boynton Middle School,43
2553,Merrimack Middle School,49
2697,Milford Middle School,48
2936,Elm Street Middle School,29
2956,Fairgrounds Middle School,23
3018,Pennichuck Middle School,28
3344,Pelham Memorial School,42
4336,Weare Middle School,23
4430,Wilton-Lyndeboro Middle School,45
