,schname,pAboveprof
57,Amherst Middle School,73
228,Ross A. Lurgio Middle School,65
586,Great Brook School,65
630,South Meadow School,40
1229,Mountain View Middle School,50
1540,Hillsboro-Deering Middle School,29
1612,Hollis-Brookline Middle School,68
1685,Hudson Memorial School,33
2115,Litchfield Middle School,55
2299,Henry J. McLaughlin Middle School,18
2319,Hillside Middle School,24
2373,Middle School At Parkside,22
2413,Southside Middle School,19
2483,Boynton Middle School,24
2571,Merrimack Middle School,48
2700,Milford Middle School,64
2933,Elm Street Middle School,36
2953,Fairgrounds Middle School,32
3015,Pennichuck Middle School,43
3348,Pelham Memorial School,47
4353,Weare Middle School,35
4471,Wilton-Lyndeboro Middle School,46
