,schname,pAboveprof
56,Amherst Middle School,78
219,Ross A. Lurgio Middle School,75
570,Great Brook School,35
607,South Meadow School,42
1191,Mountain View Middle School,58
1502,Hillsboro-Deering Middle School,34
1574,Hollis-Brookline Middle School,49
1647,Hudson Memorial School,44
2051,Litchfield Middle School,67
2235,Henry J. McLaughlin Middle School,26
2255,Hillside Middle School,15
2309,Middle School At Parkside,21
2349,Southside Middle School,10
2419,Boynton Middle School,42
2503,Merrimack Middle School,53
2644,Milford Middle School,53
2881,Elm Street Middle School,30
2901,Fairgrounds Middle School,24
2963,Pennichuck Middle School,38
3287,Pelham Memorial School,36
4264,Weare Middle School,46
4368,Wilton-Lyndeboro Middle School,34
