,schname,pAboveprof
57,Amherst Middle School,66
228,Ross A. Lurgio Middle School,65
580,Great Brook School,62
624,South Meadow School,49
1218,Mountain View Middle School,51
1546,Hillsboro-Deering Middle School,25
1618,Hollis-Brookline Middle School,66
1691,Hudson Memorial School,36
2104,Litchfield Middle School,40
2278,Henry J. McLaughlin Middle School,23
2298,Hillside Middle School,23
2352,Middle School At Parkside,15
2392,Southside Middle School,34
2462,Boynton Middle School,34
2550,Merrimack Middle School,49
2669,Milford Middle School,51
2896,Elm Street Middle School,33
2916,Fairgrounds Middle School,27
2978,Pennichuck Middle School,29
3311,Pelham Memorial School,40
4317,Weare Middle School,40
4438,Wilton-Lyndeboro Middle School,37
