,schname,pAboveprof
52,Amherst Middle School,77
231,Ross A. Lurgio Middle School,85
611,Great Brook School,53
661,South Meadow School,78
1283,Mountain View Middle School,76
1618,Hillsboro-Deering Middle School,41
1691,Hollis-Brookline Middle School,88
1779,Hudson Memorial School,72
2235,Litchfield Middle School,74
2412,Henry J. McLaughlin Middle School,51
2434,Hillside Middle School,52
2486,Middle School At Parkside,43
2532,Southside Middle School,50
2610,Boynton Middle School,62
2697,Merrimack Middle School,67
2830,Milford Middle School,69
3067,Elm Street Middle School,57
3087,Fairgrounds Middle School,66
3155,Pennichuck Middle School,51
3500,Pelham Memorial School,74
4495,Weare Middle School,68
4629,Wilton-Lyndeboro Middle School,64
