yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,5,135 - 140,30,20,29,20,49,51,553
2022,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,35,21,33,11,44,56,851
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,265 - 270,10,17,35,37,73,27,
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,140 - 145,13,16,30,40,70,30,445
2022,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,125 - 130,< 10 %,17,40,35,75,25,480
2022,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,260 - 265,13,22,27,39,65,35,
2022,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,3,135 - 140,12,22,27,39,66,34,601
2022,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,4,120 - 125,15,21,27,38,65,35,618
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,0,150 - 155,34,35,22,< 10 %,30,70,
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,3,20 - 25,25,20,20,35,55,45,436
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,4,20 - 25,17,30,35,17,52,48,459
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,5,20 - 25,27,41,32,< 10 %,32,68,477
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,6,30 - 35,42,39,16,< 10 %,19,81,485
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,7,20 - 25,52,38,10,< 10 %,10,90,492
2022,sch,mat,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,38,38,21,< 10 %,24,76,552
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,0,150 - 155,17,24,38,21,59,41,
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,3,20 - 25,25,20,20,35,55,45,597
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,4,20 - 25,30,17,26,26,52,48,607
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,5,20 - 25,14,18,59,< 10 %,68,32,629
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,6,30 - 35,16,16,32,35,68,32,657
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,7,20 - 25,24,38,33,< 10 %,38,62,629
2022,sch,rea,Regular,Andover,19,Andover Elementary School,22130,8,30 - 35,< 10 %,32,53,12,65,35,675
2022,sch,sci,Regular,Andover,19,Andover Elementary School,22130,0,55 - 60,27,34,27,13,39,61,
