yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,45 - 50,<10,<10,39,59,>90,<10,NULL
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,45 - 50,<10,<10,39,59,>90,<10,665
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,45 - 50,<10,<10,54,46,>90,<10,NULL
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,45 - 50,<10,<10,54,46,>90,<10,640
2019,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,40 - 45,<10,<10,46,38,84,<10,NULL
2019,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,40 - 45,<10,<10,46,38,84,<10,1174
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,270 - 275,<10,12,27,59,86,14,NULL
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,85 - 90,<10,16,27,55,82,18,559
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,100 - 105,<10,14,27,57,84,16,596
2019,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,80 - 85,<10,<10,26,62,88,<10,655
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,275 - 280,<10,10,44,44,88,12,NULL
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,85 - 90,<10,<10,44,42,86,14,678
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,100 - 105,<10,10,48,42,89,11,690
2019,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,85 - 90,<10,10,38,48,86,11,705
2019,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,80 - 85,14,11,37,33,70,25,NULL
2019,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,80 - 85,14,11,37,33,70,25,863
2019,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,0,70 - 75,30,29,29,12,41,59,NULL
2019,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,34,34,18,13,32,68,423
2019,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,4,35 - 40,26,23,40,11,51,49,458
2019,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,0,70 - 75,36,26,26,12,38,62,NULL
2019,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,37,34,21,<10,29,71,565
2019,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,4,35 - 40,34,17,31,17,49,51,588
2019,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,150 - 155,29,31,26,14,40,60,NULL
2019,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,41,31,22,<10,28,72,476
2019,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,6,40 - 45,32,24,24,20,44,56,508
2019,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,7,40 - 45,24,38,29,10,38,62,541
2019,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,21,32,29,18,47,53,574
2019,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,150 - 155,24,27,35,14,48,52,NULL
2019,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,38,16,34,13,47,53,617
2019,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,6,40 - 45,22,34,22,22,44,56,644
2019,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,7,40 - 45,17,26,50,<10,57,43,644
2019,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,24,32,32,13,45,55,656
2019,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,70 - 75,33,31,30,<10,36,64,NULL
2019,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,34,34,28,<10,31,69,549
2019,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,32,29,32,<10,39,61,850
