yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,35 - 40,20,49,26,<10,31,69,2555
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,275 - 280,16,22,39,23,62,38,NULL
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,40 - 45,10,27,29,34,63,37,2458
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,35,12,29,24,53,47,2458
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,45 - 50,13,17,35,35,70,30,2537
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,40 - 45,20,23,50,<10,57,43,2532
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,55 - 60,<10,29,46,18,64,36,2576
2016,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,40 - 45,12,21,45,21,67,33,2598
2016,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,95 - 100,19,50,30,<10,31,69,NULL
2016,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,4,50 - 55,20,39,41,<10,41,59,NULL
2016,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,45 - 50,19,62,17,<10,19,81,NULL
2016,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,615 - 620,10,24,30,36,66,34,NULL
2016,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,18,36,27,19,46,54,2517
2016,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,135 - 140,10,27,34,29,63,37,2569
2016,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,165 - 170,<10,18,35,43,78,22,2612
2016,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,180 - 185,<10,19,26,46,73,27,2632
2016,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,610 - 615,<10,14,44,35,78,22,NULL
2016,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,14,12,44,30,74,26,2538
2016,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,135 - 140,11,18,41,30,71,29,2570
2016,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,165 - 170,<10,<10,46,41,87,13,2623
2016,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,175 - 180,<10,17,44,35,78,22,2632
2016,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,0,180 - 185,<10,43,48,<10,49,51,NULL
2016,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,180 - 185,<10,43,48,<10,49,51,NULL
2016,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,235 - 240,<10,24,39,29,68,32,NULL
2016,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,120 - 125,10,20,40,30,70,30,2472
2016,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,<10,29,38,29,67,33,2514
2016,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,235 - 240,<10,16,29,47,76,24,NULL
2016,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,3,115 - 120,<10,20,28,44,71,29,2478
