yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2013,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,<10,85,15,>90,<10,NULL
2013,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,<10,85,15,>90,<10,1150
2013,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,<10,41,59,>90,<10,NULL
2013,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,<10,41,59,>90,<10,1156
2013,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,20 - 25,<10,<10,>90,<10,>90,<10,NULL
2013,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,20 - 25,<10,<10,>90,<10,>90,<10,1145
2013,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,105 - 110,<10,<10,23,76,>90,<10,NULL
2013,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,40 - 45,<10,<10,30,71,>90,<10,757
2013,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,60 - 65,<10,<10,19,80,>90,<10,856
2013,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,105 - 110,<10,<10,56,43,>90,<10,NULL
2013,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,40 - 45,<10,<10,64,36,>90,<10,757
2013,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,60 - 65,<10,<10,50,47,>90,<10,859
2013,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,75 - 80,<10,27,71,<10,73,27,NULL
2013,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,75 - 80,<10,27,71,<10,73,27,843
2013,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,165 - 170,14,19,50,17,67,33,NULL
2013,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,18,26,39,15,54,44,341
2013,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,35 - 40,<10,22,50,22,72,28,446
2013,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,5,50 - 55,20,18,54,<10,62,38,542
2013,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,6,40 - 45,10,10,55,25,80,20,646
2013,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,165 - 170,<10,27,58,<10,64,36,NULL
2013,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,40 - 45,10,23,60,<10,65,33,343
2013,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,35 - 40,14,31,50,<10,56,44,440
2013,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,5,50 - 55,<10,30,60,<10,64,36,545
2013,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,6,40 - 45,<10,23,60,10,70,30,644
2013,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,0,35 - 40,11,53,36,<10,36,64,NULL
2013,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,4,35 - 40,11,53,36,<10,36,64,437
2013,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,85 - 90,22,26,41,11,52,48,NULL
2013,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,45 - 50,31,29,31,<10,40,60,737
2013,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,40 - 45,13,23,53,13,65,35,843
2013,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,85 - 90,<10,26,61,<10,68,32,NULL
2013,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,45 - 50,<10,42,49,<10,49,51,741
2013,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,40 - 45,<10,<10,75,15,90,10,850
2013,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,40 - 45,<10,70,16,<10,21,79,NULL
2013,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,40 - 45,<10,70,16,<10,21,79,835
2013,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,335 - 340,<10,26,45,21,67,33,NULL
2013,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,<10,33,48,11,59,41,343
2013,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,55 - 60,<10,38,39,16,55,45,445
2013,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,45 - 50,<10,17,52,20,72,26,545
2013,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,55 - 60,<10,24,42,33,75,26,648
