yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2012,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2012,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,55 - 60,<10,<10,29,66,>90,<10,NULL
2012,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,55 - 60,<10,<10,29,66,>90,<10,853
2012,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,55 - 60,<10,<10,67,33,>90,<10,NULL
2012,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,55 - 60,<10,<10,67,33,>90,<10,857
2012,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,60 - 65,<10,25,73,<10,75,25,NULL
2012,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,60 - 65,<10,25,73,<10,75,25,843
2012,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,175 - 180,12,29,45,14,59,41,NULL
2012,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,<10,43,37,14,51,49,342
2012,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,55 - 60,<10,23,51,21,72,28,446
2012,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,5,40 - 45,12,21,57,10,67,33,544
2012,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,6,40 - 45,26,35,30,<10,40,61,638
2012,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,175 - 180,<10,25,56,12,68,32,NULL
