yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2014,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,10,63,23,87,13,NULL
2014,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,10,63,23,87,13,1148
2014,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,<10,33,63,>90,<10,NULL
2014,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,<10,33,63,>90,<10,1155
2014,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,180 - 185,<10,<10,32,65,>90,<10,NULL
2014,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,85 - 90,<10,<10,28,69,>90,<10,758
2014,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,<10,35,62,>90,<10,853
2014,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,185 - 190,<10,<10,60,39,>90,<10,NULL
2014,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,85 - 90,<10,<10,64,35,>90,<10,756
2014,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,<10,56,42,>90,<10,857
2014,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,170 - 175,20,23,43,14,57,43,NULL
2014,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,45 - 50,16,22,49,13,62,38,343
2014,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,20,28,33,20,53,48,441
2014,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,5,35 - 40,14,34,46,<10,51,49,541
2014,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,6,50 - 55,28,14,43,16,59,41,642
2014,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,170 - 175,12,20,53,15,68,32,NULL
2014,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,45 - 50,<10,16,60,16,76,24,347
2014,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,18,23,35,25,60,40,444
2014,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,5,35 - 40,14,26,49,11,60,40,543
2014,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,6,50 - 55,<10,18,65,10,75,26,647
2014,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,85 - 90,17,29,40,14,54,47,NULL
2014,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,40 - 45,12,29,45,14,60,41,743
2014,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,40 - 45,23,30,34,14,48,52,841
2014,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,85 - 90,<10,27,43,24,67,33,NULL
2014,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,40 - 45,<10,36,33,26,60,41,747
2014,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,40 - 45,<10,18,52,23,75,25,848
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,330 - 335,11,20,47,22,69,31,NULL
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,45 - 50,13,16,51,20,71,29,345
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,55 - 60,18,33,33,16,49,51,441
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,10,25,41,24,64,36,546
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,50 - 55,10,18,49,24,73,28,645
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,55 - 60,<10,12,57,28,85,16,747
2014,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,65 - 70,11,18,53,18,71,29,845
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,330 - 335,<10,17,59,20,79,21,NULL
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,45 - 50,11,11,58,20,78,22,348
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,55 - 60,<10,24,49,22,71,29,447
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,<10,15,53,29,81,19,549
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,50 - 55,<10,18,69,12,80,20,648
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,55 - 60,<10,19,65,16,81,19,750
2014,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,65 - 70,<10,15,61,23,83,17,850
2014,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,475 - 480,<10,15,48,29,77,23,NULL
2014,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,125 - 130,<10,10,42,40,81,18,650
2014,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,135 - 140,<10,13,45,34,79,20,748
2014,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,210 - 215,<10,20,53,20,73,28,845
2014,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,475 - 480,<10,<10,53,36,88,12,NULL
2014,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,125 - 130,<10,<10,60,27,87,13,653
2014,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,135 - 140,<10,<10,48,44,>90,<10,757
2014,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,210 - 215,<10,11,52,35,87,13,854
2014,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,370 - 375,<10,12,49,32,81,19,NULL
2014,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,105 - 110,<10,21,50,20,70,30,346
2014,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,130 - 135,<10,<10,45,42,87,13,451
2014,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,5,130 - 135,<10,<10,53,33,86,15,550
2014,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,370 - 375,<10,10,55,32,88,12,NULL
2014,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,3,105 - 110,<10,15,61,21,82,18,350
2014,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,4,130 - 135,<10,<10,59,30,89,11,451
2014,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,5,130 - 135,<10,<10,47,44,>90,<10,555
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,0,150 - 155,<10,21,57,14,71,29,NULL
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,3,25 - 30,11,30,41,19,59,41,343
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,4,30 - 35,<10,15,58,24,82,18,448
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,5,15 - 20,16,21,53,11,63,37,543
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,6,20 - 25,<10,<10,73,<10,82,18,647
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,7,30 - 35,<10,25,59,<10,66,34,742
2014,sch,mat,Regular,Andover,19,Andover Elementary School,22130,8,15 - 20,<10,22,61,11,72,28,844
2014,sch,rea,Regular,Andover,19,Andover Elementary School,22130,0,150 - 155,<10,18,56,21,77,23,NULL
2014,sch,rea,Regular,Andover,19,Andover Elementary School,22130,3,25 - 30,<10,26,48,19,67,33,345
