yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,35 - 40,<10,<10,20,71,>90,<10,NULL
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,35 - 40,<10,<10,20,71,>90,<10,679
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,35 - 40,<10,<10,26,74,>90,<10,NULL
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,35 - 40,<10,<10,26,74,>90,<10,662
2017,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,25 - 30,<10,14,82,<10,86,14,NULL
2017,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,25 - 30,<10,14,82,<10,86,14,NULL
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,305 - 310,<10,<10,18,72,90,10,NULL
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,80 - 85,<10,11,23,63,85,15,2622
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,115 - 120,<10,<10,16,76,>90,<10,2677
2017,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,110 - 115,<10,<10,16,75,>90,<10,2696
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,305 - 310,<10,<10,39,51,>90,<10,NULL
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,80 - 85,<10,11,31,56,88,13,2616
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,115 - 120,<10,<10,40,52,>90,<10,2650
2017,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,110 - 115,<10,<10,44,47,>90,<10,2661
