yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,20 - 25,<10,<10,29,67,>90,<10,NULL
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,20 - 25,<10,<10,29,67,>90,<10,2764
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,20 - 25,<10,<10,13,83,>90,<10,NULL
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,20 - 25,<10,<10,13,83,>90,<10,2722
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,30 - 35,<10,19,65,16,81,19,NULL
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,30 - 35,<10,19,65,16,81,19,NULL
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,305 - 310,<10,<10,23,67,90,10,NULL
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,110 - 115,<10,12,32,55,87,13,2622
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,95 - 100,<10,<10,18,77,>90,<10,2671
2015,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,11,17,69,86,14,2690
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,290 - 295,<10,11,52,35,87,13,NULL
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,95 - 100,<10,16,55,26,80,20,2584
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,95 - 100,<10,<10,47,43,90,10,2632
2015,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,10,53,37,90,10,2644
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,95 - 100,<10,42,55,<10,55,45,NULL
2015,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,95 - 100,<10,42,55,<10,55,45,NULL
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,15,28,44,13,56,44,NULL
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,17,28,44,11,56,44,2439
2015,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,14,29,43,14,57,43,2490
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,75 - 80,23,27,29,21,50,50,NULL
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,14,36,31,19,50,50,2435
2015,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,31,19,29,21,50,50,2468
2015,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,0,40 - 45,17,24,57,<10,60,40,NULL
2015,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,4,40 - 45,17,24,57,<10,60,40,NULL
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,37,38,17,<10,25,75,NULL
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,53,33,13,<10,13,87,2454
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,38,38,18,<10,24,76,2495
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,50 - 55,30,42,17,11,28,72,2534
2015,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,34,37,18,11,29,71,2539
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,16,25,43,16,59,41,NULL
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,5,30 - 35,30,17,40,13,53,47,2507
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,6,30 - 35,18,35,38,<10,47,53,2518
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,50 - 55,<10,28,43,19,62,38,2570
2015,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,13,16,50,21,71,29,2598
2015,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,35 - 40,18,58,24,<10,24,76,NULL
2015,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,18,58,24,<10,24,76,NULL
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,325 - 330,21,40,25,14,39,61,NULL
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,30,34,26,10,36,64,2413
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,<10,34,32,26,57,43,2497
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,37,47,12,<10,16,84,2473
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,65 - 70,19,49,18,13,31,69,2522
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,50 - 55,<10,36,36,20,56,44,2580
2015,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,22,33,31,14,45,55,2570
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,325 - 330,18,30,40,12,52,48,NULL
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,50 - 55,18,34,30,18,48,52,2423
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,23,23,36,17,53,47,2474
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,55 - 60,19,28,44,<10,53,47,2500
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,65 - 70,27,39,28,<10,34,66,2500
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,50 - 55,<10,20,54,20,74,26,2587
2015,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,14,31,47,<10,55,45,2576
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,105 - 110,<10,52,37,<10,40,60,NULL
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,4,45 - 50,<10,32,60,<10,66,34,NULL
2015,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,55 - 60,12,69,19,<10,19,81,NULL
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,630 - 635,11,26,30,33,63,37,NULL
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,13,40,24,23,47,53,2525
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,145 - 150,<10,25,36,30,66,34,2575
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,10,22,27,41,68,32,2600
2015,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,14,21,31,35,66,34,2618
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,630 - 635,<10,16,42,36,78,22,NULL
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,5,130 - 135,<10,19,40,33,73,27,2552
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,145 - 150,<10,21,39,36,75,25,2584
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,<10,14,45,36,81,19,2616
2015,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,170 - 175,<10,14,44,39,82,18,2639
2015,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,0,165 - 170,11,52,35,<10,36,64,NULL
2015,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,165 - 170,11,52,35,<10,36,64,NULL
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,235 - 240,11,27,41,21,63,37,NULL
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,115 - 120,<10,22,41,29,71,29,2471
2015,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,115 - 120,13,32,41,13,55,45,2485
