yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2010,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,20 - 25,<10,<10,<10,>90,>90,<10,NULL
2010,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,20 - 25,<10,<10,<10,>90,>90,<10,856
2010,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,20 - 25,<10,10,43,48,>90,10,NULL
2010,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2010,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,20 - 25,<10,10,45,45,90,10,856
2010,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,35 - 40,<10,11,78,11,89,11,NULL
2010,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,35 - 40,<10,11,78,11,89,11,847
2010,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,160 - 165,17,30,49,<10,53,47,NULL
2010,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,13,39,41,<10,49,51,341
2010,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,45 - 50,19,36,45,<10,45,55,438
2010,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,5,45 - 50,15,23,58,<10,60,38,541
2010,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,6,25 - 30,21,21,48,10,59,41,642
2010,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,160 - 165,<10,19,60,15,76,24,NULL
2010,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,<10,<10,74,15,90,10,349
2010,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,4,45 - 50,<10,32,53,<10,62,36,443
2010,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,5,45 - 50,<10,15,54,25,79,21,549
2010,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,6,25 - 30,<10,28,62,10,72,28,647
2010,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,0,45 - 50,22,43,35,<10,35,65,NULL
2010,sch,sci,Regular,Allenstown,9,Allenstown Elementary School,22580,4,45 - 50,22,43,35,<10,35,65,435
2010,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,0,80 - 85,17,32,36,14,49,49,NULL
2010,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,7,45 - 50,20,33,26,20,46,52,740
2010,sch,mat,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,14,31,49,<10,54,46,841
2010,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,0,80 - 85,<10,14,65,14,79,21,NULL
2010,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,7,45 - 50,11,15,61,13,74,26,748
2010,sch,rea,Regular,Allenstown,9,Armand R. Dupont School,22575,8,35 - 40,<10,11,71,14,86,14,848
2010,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,0,30 - 35,<10,64,27,<10,27,73,NULL
2010,sch,sci,Regular,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,<10,64,27,<10,27,73,837
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,0,380 - 385,15,23,49,14,63,37,NULL
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,3,40 - 45,<10,21,57,18,75,25,345
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,4,70 - 75,18,27,45,10,55,45,441
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,5,60 - 65,18,19,52,11,63,37,543
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,6,55 - 60,17,25,44,14,58,42,642
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,7,70 - 75,11,27,53,<10,61,39,742
2010,sch,mat,Regular,Alton,15,Alton Central School (Elem),22480,8,75 - 80,16,16,45,23,68,32,844
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,0,380 - 385,<10,19,66,12,78,22,NULL
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,3,40 - 45,<10,14,73,14,86,14,349
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,4,70 - 75,<10,23,59,10,69,31,443
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,5,60 - 65,<10,15,66,16,82,18,548
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,6,55 - 60,<10,10,75,14,88,12,649
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,7,70 - 75,<10,27,63,<10,71,29,746
2010,sch,rea,Regular,Alton,15,Alton Central School (Elem),22480,8,75 - 80,<10,20,63,13,76,24,848
2010,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,0,150 - 155,20,43,35,<10,37,63,NULL
2010,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,4,70 - 75,14,33,50,<10,53,47,440
2010,sch,sci,Regular,Alton,15,Alton Central School (Elem),22480,8,80 - 85,25,53,21,<10,23,78,834
2010,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,0,555 - 560,<10,12,46,36,82,18,NULL
2010,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,6,155 - 160,<10,13,41,38,80,20,649
2010,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,<10,13,44,38,81,19,748
2010,sch,mat,Regular,Amherst,17,Amherst Middle School,21745,8,215 - 220,<10,11,51,33,84,17,848
2010,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,0,555 - 560,<10,<10,50,43,>90,<10,NULL
2010,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,6,155 - 160,<10,<10,50,45,>90,<10,657
2010,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,7,180 - 185,<10,<10,47,44,90,10,757
2010,sch,rea,Regular,Amherst,17,Amherst Middle School,21745,8,215 - 220,<10,<10,52,40,>90,<10,856
2010,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,0,220 - 225,<10,48,46,<10,47,53,NULL
2010,sch,sci,Regular,Amherst,17,Amherst Middle School,21745,8,220 - 225,<10,48,46,<10,47,53,839
2010,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,0,495 - 500,<10,10,52,33,84,16,NULL
2010,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,3,140 - 145,<10,<10,56,33,89,11,351
2010,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,4,170 - 175,<10,<10,56,32,88,12,450
2010,sch,mat,Regular,Amherst,17,Clark-Wilkins School,21750,5,180 - 185,11,13,44,33,77,23,548
2010,sch,rea,Regular,Amherst,17,Clark-Wilkins School,21750,0,495 - 500,<10,<10,58,31,89,11,NULL
