yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2009,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2009,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,15-Oct,<10,<10,<10,83,>90,<10,NULL
2009,sch,mat,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,15-Oct,<10,<10,<10,83,>90,<10,857
2009,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,15-Oct,<10,<10,83,<10,>90,<10,NULL
2009,sch,rea,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,15-Oct,<10,<10,83,<10,>90,<10,849
2009,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,15 - 20,<10,29,59,12,71,29,NULL
2009,sch,sci,Regular,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,15 - 20,<10,29,59,12,71,29,845
2009,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,0,115 - 120,16,28,48,<10,54,45,NULL
2009,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,23,33,36,<10,44,56,337
2009,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,4,45 - 50,15,26,52,<10,57,41,440
2009,sch,mat,Regular,Allenstown,9,Allenstown Elementary School,22580,5,30 - 35,10,26,58,<10,65,36,543
2009,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,0,115 - 120,10,24,51,15,66,34,NULL
2009,sch,rea,Regular,Allenstown,9,Allenstown Elementary School,22580,3,35 - 40,11,26,47,16,63,37,343
