schname,pAboveprof
Amherst Middle School,68.0
Boynton Middle School,42.0
Elm Street Middle School,33.333333333333336
Fairgrounds Middle School,23.666666666666668
Great Brook School,44.333333333333336
Henry J. McLaughlin Middle School,25.333333333333332
Hillsboro-Deering Middle School,34.666666666666664
Hillside Middle School,14.333333333333334
Hollis-Brookline Middle School,56.666666666666664
Hudson Memorial School,48.0
Litchfield Middle School,51.666666666666664
Merrimack Middle School,42.333333333333336
Middle School At Parkside,24.0
Milford Middle School,45.333333333333336
Mountain View Middle School,47.666666666666664
Pelham Memorial School,44.666666666666664
Pennichuck Middle School,28.666666666666668
Ross A. Lurgio Middle School,69.33333333333333
South Meadow School,42.666666666666664
Southside Middle School,16.0
Weare Middle School,28.0
Wilton-Lyndeboro Middle School,44.0
