schname,pAboveprof
Amherst Middle School,61.333333333333336
Boynton Middle School,30.0
Elm Street Middle School,34.666666666666664
Fairgrounds Middle School,31.666666666666668
Great Brook School,51.0
Henry J. McLaughlin Middle School,22.666666666666668
Hillsboro-Deering Middle School,29.333333333333332
Hillside Middle School,20.333333333333332
Hollis-Brookline Middle School,60.666666666666664
Hudson Memorial School,36.666666666666664
Litchfield Middle School,40.333333333333336
Merrimack Middle School,46.0
Middle School At Parkside,17.0
Milford Middle School,47.0
Mountain View Middle School,41.666666666666664
Pelham Memorial School,45.0
Pennichuck Middle School,29.666666666666668
Ross A. Lurgio Middle School,57.666666666666664
South Meadow School,48.333333333333336
Southside Middle School,27.333333333333332
Weare Middle School,42.666666666666664
Wilton-Lyndeboro Middle School,37.0
