schname,pAboveprof
Amherst Middle School,69.0
Boynton Middle School,40.0
Elm Street Middle School,32.0
Fairgrounds Middle School,28.0
Great Brook School,37.0
Henry J. McLaughlin Middle School,30.0
Hillsboro-Deering Middle School,41.666666666666664
Hillside Middle School,17.333333333333332
Hollis-Brookline Middle School,51.333333333333336
Hudson Memorial School,48.0
Litchfield Middle School,61.666666666666664
Merrimack Middle School,51.333333333333336
Middle School At Parkside,27.666666666666668
Milford Middle School,61.333333333333336
Mountain View Middle School,57.666666666666664
Pelham Memorial School,41.666666666666664
Pennichuck Middle School,34.666666666666664
Ross A. Lurgio Middle School,72.66666666666667
South Meadow School,46.0
Southside Middle School,14.666666666666666
Weare Middle School,46.0
Wilton-Lyndeboro Middle School,45.666666666666664
