schname,pAboveprof
Amherst Middle School,72.0
Boynton Middle School,66.33333333333333
Elm Street Middle School,47.666666666666664
Fairgrounds Middle School,54.333333333333336
Great Brook School,52.0
Henry J. McLaughlin Middle School,39.333333333333336
Hillsboro-Deering Middle School,38.666666666666664
Hillside Middle School,40.333333333333336
Hollis Brookline Middle School,65.33333333333333
Hudson Memorial School,60.0
Litchfield Middle School,63.666666666666664
Merrimack Middle School,59.333333333333336
Middle School At Parkside,37.0
Milford Middle School,61.666666666666664
Mountain View Middle School,60.0
Pelham Memorial School,56.666666666666664
Pennichuck Middle School,49.0
Ross A. Lurgio Middle School,78.0
South Meadow School,65.0
Southside Middle School,41.0
Weare Middle School,58.333333333333336
Wilton-Lyndeboro Middle School,48.333333333333336
