schname,pAboveprof
Amherst Middle School,73.66666666666667
Boynton Middle School,57.666666666666664
Elm Street Middle School,50.333333333333336
Fairgrounds Middle School,58.666666666666664
Great Brook School,58.333333333333336
Henry J. McLaughlin Middle School,37.0
Hillsboro-Deering Middle School,40.666666666666664
Hillside Middle School,37.0
Hollis Brookline Middle School,69.33333333333333
Hudson Memorial School,55.333333333333336
Litchfield Middle School,60.0
Merrimack Middle School,58.666666666666664
Middle School At Parkside,28.333333333333332
Milford Middle School,64.33333333333333
Mountain View Middle School,54.666666666666664
Pelham Memorial School,57.0
Pennichuck Middle School,50.333333333333336
Ross A. Lurgio Middle School,75.0
South Meadow School,66.0
Southside Middle School,40.0
Weare Middle School,60.666666666666664
Wilton-Lyndeboro Middle School,32.666666666666664
