schname,pAboveprof
Amherst Middle School,69.66666666666667
Boynton Middle School,52.333333333333336
Elm Street Middle School,51.0
Fairgrounds Middle School,60.0
Great Brook School,49.0
Henry J. McLaughlin Middle School,37.666666666666664
Hillsboro-Deering Middle School,34.333333333333336
Hillside Middle School,34.0
Hollis Brookline Middle School,70.0
Hudson Memorial School,47.333333333333336
Litchfield Middle School,56.0
Merrimack Middle School,58.666666666666664
Middle School At Parkside,32.0
Milford Middle School,53.0
Mountain View Middle School,55.333333333333336
Pelham Memorial School,55.0
Pennichuck Middle School,52.666666666666664
Ross A. Lurgio Middle School,68.66666666666667
South Meadow School,59.666666666666664
Southside Middle School,36.0
Weare Middle School,54.0
Wilton-Lyndeboro Middle School,40.666666666666664
