schname,pAboveprof
Amherst Middle School,66.66666666666667
Boynton Middle School,28.0
Elm Street Middle School,37.333333333333336
Fairgrounds Middle School,33.666666666666664
Great Brook School,46.666666666666664
Henry J. McLaughlin Middle School,23.0
Hillsboro-Deering Middle School,31.666666666666668
Hillside Middle School,22.666666666666668
Hollis-Brookline Middle School,62.333333333333336
Hudson Memorial School,38.0
Litchfield Middle School,57.333333333333336
Merrimack Middle School,44.333333333333336
Middle School At Parkside,18.0
Milford Middle School,55.333333333333336
Mountain View Middle School,46.333333333333336
Pelham Memorial School,43.666666666666664
Pennichuck Middle School,41.333333333333336
Ross A. Lurgio Middle School,59.0
South Meadow School,43.0
Southside Middle School,19.333333333333332
Weare Middle School,36.666666666666664
Wilton-Lyndeboro Middle School,48.666666666666664
