schname,pAboveprof
Amherst Middle School,73.33333333333333
Boynton Middle School,59.666666666666664
Elm Street Middle School,43.666666666666664
Fairgrounds Middle School,59.333333333333336
Great Brook School,60.333333333333336
Henry J. McLaughlin Middle School,47.666666666666664
Hillsboro-Deering Middle School,52.333333333333336
Hillside Middle School,51.0
Hollis-Brookline Middle School,68.66666666666667
Hudson Memorial School,58.333333333333336
Litchfield Middle School,63.333333333333336
Merrimack Middle School,60.666666666666664
Middle School At Parkside,37.666666666666664
Milford Middle School,67.33333333333333
Mountain View Middle School,62.666666666666664
Pelham Memorial School,62.0
Pennichuck Middle School,52.666666666666664
Ross A. Lurgio Middle School,76.66666666666667
South Meadow School,63.333333333333336
Southside Middle School,44.666666666666664
Weare Middle School,64.33333333333333
Wilton-Lyndeboro Middle School,49.0
