schname,pAboveprof
Amherst Middle School,71.0
Boynton Middle School,56.666666666666664
Elm Street Middle School,49.333333333333336
Fairgrounds Middle School,59.333333333333336
Great Brook School,42.666666666666664
Henry J. McLaughlin Middle School,47.333333333333336
Hillsboro-Deering Middle School,39.333333333333336
Hillside Middle School,43.666666666666664
Hollis-Brookline Middle School,72.33333333333333
Hudson Memorial School,61.0
Litchfield Middle School,66.33333333333333
Merrimack Middle School,58.0
Middle School At Parkside,37.666666666666664
Milford Middle School,58.333333333333336
Mountain View Middle School,62.666666666666664
Pelham Memorial School,63.333333333333336
Pennichuck Middle School,47.666666666666664
Ross A. Lurgio Middle School,76.0
South Meadow School,69.33333333333333
Southside Middle School,48.666666666666664
Weare Middle School,62.666666666666664
Wilton-Lyndeboro Middle School,59.333333333333336
