schname,pAboveprof
Amherst Middle School,80.0
Boynton Middle School,77.0
Elm Street Middle School,53.5
Fairgrounds Middle School,68.0
Great Brook School,69.5
Henry J. McLaughlin Middle School,51.0
Hillsboro-Deering Middle School,49.5
Hillside Middle School,52.5
Hollis-Brookline Middle School,86.0
Hudson Memorial School,73.0
Litchfield Middle School,75.5
Merrimack Middle School,68.0
Middle School At Parkside,52.0
Milford Middle School,78.0
Mountain View Middle School,79.0
Pelham Memorial School,72.5
Pennichuck Middle School,60.5
Ross A. Lurgio Middle School,87.0
South Meadow School,78.0
Southside Middle School,55.5
Weare Middle School,75.0
Wilton-Lyndeboro Middle School,61.0
