,schname,subject,pAboveprof
64,Amherst Middle School,sci,79
226,Ross A. Lurgio Middle School,sci,59
603,Great Brook School,sci,27
640,South Meadow School,sci,31
1222,Mountain View Middle School,sci,40
1533,Hillsboro-Deering Middle School,sci,32
1604,Hollis-Brookline Middle School,sci,45
1678,Hudson Memorial School,sci,41
2115,Litchfield Middle School,sci,38
2291,Henry J. McLaughlin Middle School,sci,18
2311,Hillside Middle School,sci,12
2365,Middle School At Parkside,sci,22
2405,Southside Middle School,sci,10
2477,Boynton Middle School,sci,40
2558,Merrimack Middle School,sci,31
2703,Milford Middle School,sci,38
2942,Elm Street Middle School,sci,29
2962,Fairgrounds Middle School,sci,16
3024,Pennichuck Middle School,sci,21
3350,Pelham Memorial School,sci,39
4342,Weare Middle School,sci,31
4436,Wilton-Lyndeboro Middle School,sci,30
