,schname,subject,pAboveprof
58,Amherst Middle School,sci,46
235,Ross A. Lurgio Middle School,sci,53
617,Great Brook School,sci,11
667,South Meadow School,sci,41
1289,Mountain View Middle School,sci,30
1624,Hillsboro-Deering Middle School,sci,12
1695,Hollis-Brookline Middle School,sci,39
1785,Hudson Memorial School,sci,28
2241,Litchfield Middle School,sci,39
2418,Henry J. McLaughlin Middle School,sci,20
2440,Hillside Middle School,sci,17
2492,Middle School At Parkside,sci,17
2538,Southside Middle School,sci,18
2617,Boynton Middle School,sci,21
2701,Merrimack Middle School,sci,27
2835,Milford Middle School,sci,23
3072,Elm Street Middle School,sci,20
3092,Fairgrounds Middle School,sci,29
3160,Pennichuck Middle School,sci,19
3505,Pelham Memorial School,sci,37
4501,Weare Middle School,sci,32
4633,Wilton-Lyndeboro Middle School,sci,31
