,schname,subject,pAboveprof
64,Amherst Middle School,sci,56
233,Ross A. Lurgio Middle School,sci,33
593,Great Brook School,sci,14
637,South Meadow School,sci,26
1237,Mountain View Middle School,sci,17
1547,Hillsboro-Deering Middle School,sci,21
1618,Hollis-Brookline Middle School,sci,38
1692,Hudson Memorial School,sci,24
2111,Litchfield Middle School,sci,35
2294,Henry J. McLaughlin Middle School,sci,10
2314,Hillside Middle School,sci,10
2368,Middle School At Parkside,sci,11
2408,Southside Middle School,sci,10
2479,Boynton Middle School,sci,27
2565,Merrimack Middle School,sci,25
2709,Milford Middle School,sci,32
2942,Elm Street Middle School,sci,24
2962,Fairgrounds Middle School,sci,20
3024,Pennichuck Middle School,sci,19
3349,Pelham Memorial School,sci,19
4351,Weare Middle School,sci,23
4455,Wilton-Lyndeboro Middle School,sci,10
