,schname,subject,pAboveprof
64,Amherst Middle School,sci,63
224,Ross A. Lurgio Middle School,sci,63
578,Great Brook School,sci,28
615,South Meadow School,sci,32
1199,Mountain View Middle School,sci,48
1508,Hillsboro-Deering Middle School,sci,38
1579,Hollis-Brookline Middle School,sci,44
1653,Hudson Memorial School,sci,42
2059,Litchfield Middle School,sci,48
2241,Henry J. McLaughlin Middle School,sci,26
2261,Hillside Middle School,sci,15
2315,Middle School At Parkside,sci,23
2355,Southside Middle School,sci,10
2427,Boynton Middle School,sci,32
2508,Merrimack Middle School,sci,39
2650,Milford Middle School,sci,59
2887,Elm Street Middle School,sci,24
2907,Fairgrounds Middle School,sci,23
2969,Pennichuck Middle School,sci,25
3293,Pelham Memorial School,sci,39
4270,Weare Middle School,sci,40
4374,Wilton-Lyndeboro Middle School,sci,37
