,schname,subject,pAboveprof
58,Amherst Middle School,sci,44
235,Ross A. Lurgio Middle School,sci,55
621,Great Brook School,sci,14
671,South Meadow School,sci,32
1296,Mountain View Middle School,sci,22
1635,Hillsboro-Deering Middle School,sci,10
1700,Hollis Brookline Middle School,sci,31
1796,Hudson Memorial School,sci,30
2248,Litchfield Middle School,sci,28
2425,Henry J. McLaughlin Middle School,sci,12
2447,Hillside Middle School,sci,16
2499,Middle School At Parkside,sci,15
2545,Southside Middle School,sci,10
2632,Boynton Middle School,sci,33
2730,Merrimack Middle School,sci,25
2864,Milford Middle School,sci,34
3103,Elm Street Middle School,sci,16
3123,Fairgrounds Middle School,sci,23
3191,Pennichuck Middle School,sci,15
3532,Pelham Memorial School,sci,27
4530,Weare Middle School,sci,23
4662,Wilton-Lyndeboro Middle School,sci,15
