,schname,subject,pAboveprof
60,Amherst Middle School,sci,47
237,Ross A. Lurgio Middle School,sci,47
633,Great Brook School,sci,24
683,South Meadow School,sci,38
1303,Mountain View Middle School,sci,24
1636,Hillsboro-Deering Middle School,sci,10
1701,Hollis Brookline Middle School,sci,35
1799,Hudson Memorial School,sci,25
2247,Litchfield Middle School,sci,30
2438,Henry J. McLaughlin Middle School,sci,12
2460,Hillside Middle School,sci,11
2512,Middle School At Parkside,sci,10
2558,Southside Middle School,sci,16
2643,Boynton Middle School,sci,31
2737,Merrimack Middle School,sci,28
2873,Milford Middle School,sci,35
3112,Elm Street Middle School,sci,21
3132,Fairgrounds Middle School,sci,26
3200,Pennichuck Middle School,sci,18
3559,Pelham Memorial School,sci,20
4553,Weare Middle School,sci,20
4671,Wilton-Lyndeboro Middle School,sci,10
