,schname,subject,pAboveprof
60,Amherst Middle School,sci,49
239,Ross A. Lurgio Middle School,sci,52
619,Great Brook School,sci,26
669,South Meadow School,sci,38
1279,Mountain View Middle School,sci,31
1612,Hillsboro-Deering Middle School,sci,21
1683,Hollis-Brookline Middle School,sci,35
1771,Hudson Memorial School,sci,29
2217,Litchfield Middle School,sci,30
2400,Henry J. McLaughlin Middle School,sci,16
2422,Hillside Middle School,sci,25
2474,Middle School At Parkside,sci,10
2520,Southside Middle School,sci,15
2597,Boynton Middle School,sci,21
2689,Merrimack Middle School,sci,31
2823,Milford Middle School,sci,47
3054,Elm Street Middle School,sci,16
3074,Fairgrounds Middle School,sci,27
3142,Pennichuck Middle School,sci,17
3485,Pelham Memorial School,sci,30
4493,Weare Middle School,sci,36
4625,Wilton-Lyndeboro Middle School,sci,10
