,schname,subject,pAboveprof
64,Amherst Middle School,sci,49
233,Ross A. Lurgio Middle School,sci,34
593,Great Brook School,sci,10
637,South Meadow School,sci,25
1236,Mountain View Middle School,sci,22
1546,Hillsboro-Deering Middle School,sci,22
1617,Hollis-Brookline Middle School,sci,31
1691,Hudson Memorial School,sci,19
2122,Litchfield Middle School,sci,32
2305,Henry J. McLaughlin Middle School,sci,10
2325,Hillside Middle School,sci,10
2379,Middle School At Parkside,sci,10
2419,Southside Middle School,sci,10
2490,Boynton Middle School,sci,19
2576,Merrimack Middle School,sci,23
2706,Milford Middle School,sci,32
2939,Elm Street Middle School,sci,20
2959,Fairgrounds Middle School,sci,27
3021,Pennichuck Middle School,sci,25
3354,Pelham Memorial School,sci,25
4359,Weare Middle School,sci,18
4477,Wilton-Lyndeboro Middle School,sci,26
